item,frequency,support
sentiment_positive,2734,0.7548315847598012
kw_đẹp,1236,0.3412479293208172
sản_phẩm_đẹp,1090,0.3009387078961899
sentiment_nonpositive,888,0.24516841524019878
kw_tốt,881,0.2432357813362783
giá_rẻ_hợp_lý,418,0.1154058531198233
kw_nhanh,339,0.0935946990612921
đúng_mô_tả,291,0.08034235229155164
âm_thanh_tốt,270,0.07454445057979017
giao_hàng_nhanh,258,0.07123136388735506
màu_sắc_đẹp,247,0.06819436775262286
kw_rẻ,233,0.06432909994478189
kw_ổn,230,0.06350082827167311
chất_lượng_tốt,219,0.06046383213694092
chất_liệu_mỏng,214,0.059083379348426286
kw_mỏng,209,0.05770292655991165
review_nhận_xu,180,0.04969630038652678
shop_tốt,175,0.04831584759801215
sẽ_mua_lại,156,0.04307012700165654
mùi_hương_tốt,149,0.04113749309773606
kw_êm,140,0.03865267807840972
kw_vừa,96,0.02650469353948095
sản_phẩm_lỗi_hỏng,89,0.024572059635560462
kw_bền,86,0.023743787962451683
đóng_gói_tốt,72,0.019878520154610713
kw_thơm,68,0.018774157923799006
chất_liệu_tốt,61,0.01684152401987852
kw_mềm,51,0.014080618442849255
kw_chuẩn,44,0.012147984538928768
chất_lượng_kém,38,0.010491441192711209
kw_lỗi,28,0.007730535615681944
kích_thước_vừa,28,0.007730535615681944
kw_xấu,27,0.007454445057979017
kw_móp,23,0.006350082827167311
không_giống_mô_tả,17,0.004693539480949751
kw_kém,16,0.004417448923246825
kw_hỏng,15,0.0041413583655438985
kw_rách,10,0.0027609055770292656
kw_chậm,10,0.0027609055770292656
giá_cao,9,0.002484815019326339
kw_đắt,6,0.0016565433462175593
đóng_gói_kém,3,0.0008282716731087797
giao_hàng_chậm,3,0.0008282716731087797
